state1,state2,distance_km
Georgia,Michigan,1310.53
Georgia,Minnesota,1775.79
Georgia,Mississippi,583.81
Georgia,Missouri,1034.06
Georgia,Montana,2732.43
Georgia,Nebraska,1752.62
Georgia,Nevada,3064.96
Georgia,New Hampshire,1603.45
Georgia,New Jersey,1147.88
Georgia,New Mexico,2110.64
Georgia,New York,1338.72
Georgia,North Carolina,494.38
Georgia,North Dakota,2184.21
Georgia,Ohio,850.3
Georgia,Oklahoma,1335.67
Georgia,Oregon,3445.64
Georgia,Pennsylvania,1043.13
Georgia,Rhode Island,1453.4
Georgia,South Carolina,276.16
Georgia,South Dakota,1956.93
Georgia,Tennessee,446.1
Georgia,Texas,1504.55
Georgia,Utah,2638.92
Georgia,Vermont,1576.96
Georgia,Virginia,684.07
Georgia,Washington,3513.17
Georgia,West Virginia,712.85
Georgia,Wisconsin,1446.11
Georgia,Wyoming,2401.45
Hawaii,Alabama,6949.03
Hawaii,Alaska,4872.42
Hawaii,Arizona,4647.75
Hawaii,Arkansas,6409.55
Hawaii,California,4026.47
Hawaii,Colorado,5260.88
Hawaii,Connecticut,8025.62
Hawaii,Delaware,7850.88
Hawaii,District of Columbia,7723.76
Hawaii,Florida,7438.27
Hawaii,Georgia,7265.36
Hawaii,Hawaii,0.0
Hawaii,Idaho,4676.57
Hawaii,Illinois,6669.03
Hawaii,Indiana,6918.57
Hawaii,Iowa,6307.02
Hawaii,Kansas,5876.02
Hawaii,Kentucky,7026.1
Hawaii,Louisiana,6485.78
Hawaii,Maine,8213.38
Hawaii,Maryland,7740.05
Hawaii,Massachusetts,8085.72
Hawaii,Michigan,6963.09
Hawaii,Minnesota,6271.54
Hawaii,Mississippi,6685.42
Hawaii,Missouri,6392.86
Hawaii,Montana,5143.36
Hawaii,Nebraska,5780.82
Hawaii,Nevada,4334.6
Hawaii,New Hampshire,8071.43
Hawaii,New Jersey,7895.92
Hawaii,New Mexico,5157.0
Hawaii,New York,7771.6
Hawaii,North Carolina,7580.8
Hawaii,North Dakota,5824.96
Hawaii,Ohio,7211.05
Hawaii,Oklahoma,5947.67
Hawaii,Oregon,4222.79
Hawaii,Pennsylvania,7621.87
Hawaii,Rhode Island,8119.8
Hawaii,South Carolina,7475.96
Hawaii,South Dakota,5786.58
Hawaii,Tennessee,6952.33
